,Model,Train Precision,Train Recall,Train F1,Val Precision,Val Recall,Val F1
0,Random Forest,0.9995250222852081,0.999523874302816,0.9995243532626419,0.9685362239614919,0.9681697612732095,0.9672087398712665
1,SVM,0.9953811864873846,0.9953067609849,0.9952946610504319,0.9819863261923978,0.981636400734544,0.9815101042562908
2,Naive Bayes,0.8955950316597413,0.8855257788056047,0.8647168615962602,0.8695752047162117,0.8665578453376862,0.8435601401371141
3,KNN,0.9746283256284316,0.9744252482655421,0.97434244942986,0.9624974575932086,0.9622526015098959,0.962017051202226
